ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (oz),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpb_vc_js_status,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: _min_variation_price,Meta: _max_variation_price,Meta: _min_variation_regular_price,Meta: _max_variation_regular_price,Meta: _min_variation_sale_price,Meta: _max_variation_sale_price,Meta: _min_price_variation_id,Meta: _max_price_variation_id,Meta: _min_regular_price_variation_id,Meta: _max_regular_price_variation_id,Meta: _min_sale_price_variation_id,Meta: _max_sale_price_variation_id,Meta: _download_type
447,simple,,Ship Your Idea,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost:8000/wp-content/uploads/2019/07/poster_1_up5.jpg, http://localhost:8000/wp-content/uploads/2019/07/Poster_1_flat5.jpg",,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
448,simple,,Flying Ninja,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,12,15,Posters,,,http://localhost:8000/wp-content/uploads/2019/07/poster_2_up5-1.jpg,,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
450,simple,,Woo Ninja,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,http://localhost:8000/wp-content/uploads/2019/07/poster_4_up5.jpg,,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
455,simple,,Woo Logo,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost:8000/wp-content/uploads/2019/07/poster_5_up5.jpg, http://localhost:8000/wp-content/uploads/2019/07/Poster_5_flat5.jpg",,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
462,simple,,Woo Themes,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,15,Posters,,,"http://localhost:8000/wp-content/uploads/2019/07/poster_3_up5.jpg, http://localhost:8000/wp-content/uploads/2019/07/Poster_3_flat5.jpg",,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
456,"simple, downloadable",,Woo Album #1,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost:8000/wp-content/uploads/2019/07/cd_1_angle5.jpg, http://localhost:8000/wp-content/uploads/2019/07/cd_1_flat5.jpg",-1,-1,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
458,"simple, downloadable",,Woo Album #3,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,http://localhost:8000/wp-content/uploads/2019/07/cd_5_angle5.jpg,-1,-1,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
459,"simple, downloadable",,Woo Single #1,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,3,"Music, Music > Singles",,,"http://localhost:8000/wp-content/uploads/2019/07/cd_4_angle5.jpg, http://localhost:8000/wp-content/uploads/2019/07/cd_4_flat5.jpg",-1,-1,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
460,"simple, downloadable",,Woo Album #4,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,9,"Music > Albums, Music",,,"http://localhost:8000/wp-content/uploads/2019/07/cd_3_angle5.jpg, http://localhost:8000/wp-content/uploads/2019/07/cd_3_flat5.jpg",-1,-1,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
461,simple,,Woo Single #2,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,2,3,"Music, Music > Singles, Uncategorized",,,"http://localhost:8000/wp-content/uploads/2019/07/cd_6_angle5.jpg, http://localhost:8000/wp-content/uploads/2019/07/cd_3_flat5.jpg",,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
578,simple,,Woo Logo,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,5,,0,0,,,,,1,,18,20,"Clothing, Clothing > T-shirts",,,"http://localhost:8000/wp-content/uploads/2019/07/T_1_front5.jpg, http://localhost:8000/wp-content/uploads/2019/07/T_1_back5.jpg",,,,,,,,,0,FALSE,,,,,,,,,,,,,,,,,,
579,variable,,Ship Your Idea,1,0,visible,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing, Music, Clothing > T-shirts",,,"http://localhost:8000/wp-content/uploads/2019/07/T_4_front15.jpg, http://localhost:8000/wp-content/uploads/2019/07/T_3_front5.jpg",,,,,,,,,0,FALSE,Color,"Black, Green",0,1,Black,20,20,20,20,20,20,452,452,452,452,,,
1747,variation,,Ship Your Idea - Black,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,"http://localhost:8000/wp-content/uploads/2019/07/T_4_front15.jpg, http://localhost:8000/wp-content/uploads/2019/07/T_3_front5.jpg",,,id:579,,,,,,1,,Color,Black,,1,,,,,,,,,,,,,,
1748,variation,,Ship Your Idea - Green,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20,,,,http://localhost:8000/wp-content/uploads/2019/07/T_3_front5.jpg,,,id:579,,,,,,2,,Color,Green,,1,,,,,,,,,,,,,,
1752,variation,,Ship Your Idea - Black,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,"http://localhost:8000/wp-content/uploads/2019/07/hoodie_7_front5.jpg, http://localhost:8000/wp-content/uploads/2019/07/hoodie_7_back5.jpg,",,,id:441,,,,,,1,,Color,Black,,1,,,,,,,,,,,,,,
1753,variation,,Ship Your Idea - Blue,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,30,,,,http://localhost:8000/wp-content/uploads/2019/07/hoodie_1_front5.jpg,,,id:441,,,,,,2,,Color,Blue,,1,,,,,,,,,,,,,,
